"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60076","TC-LOAN-UI-001: loan with sufficient down payment results in approval @smoke @ui","chromium","2026-04-10","broken","2026-04-10","Request Loan","loans/request-loan.spec.js","",""
"","5586","TC-BILL-UI-004: missing amount field shows validation error @regression @ui","chromium","2026-04-10","failed","2026-04-10","Bill Pay","bill-pay/bill-pay.spec.js","",""
"","30074","TC-FIND-UI-002: search by date range returns transactions within range @regression @ui","chromium","2026-04-10","broken","2026-04-10","Find Transactions","find-transactions/find-transactions.spec.js","",""
"","418","TC-XFER-UI-004: both account dropdowns are populated @smoke @ui","chromium","2026-04-10","failed","2026-04-10","Transfer Funds","transfers/transfer-funds.spec.js","",""
"","30060","TC-ACCT-UI-003: total balance equals sum of all account balances @regression @ui","chromium","2026-04-10","broken","2026-04-10","Accounts Overview","accounts/overview.spec.js","",""
"","240","TC-FIND-UI-004: search by transaction ID returns that specific transaction @regression @ui","chromium","2026-04-10","skipped","2026-04-10","Find Transactions","find-transactions/find-transactions.spec.js","",""
"","5471","TC-LOAN-UI-003: missing loan amount shows validation error @regression @ui","chromium","2026-04-10","failed","2026-04-10","Request Loan","loans/request-loan.spec.js","",""
"","5532","TC-BILL-UI-001: successful bill payment with all fields shows confirmation @smoke @ui","chromium","2026-04-10","failed","2026-04-10","Bill Pay","bill-pay/bill-pay.spec.js","",""
"","5351","TC-XFER-UI-003: non-numeric amount shows validation error @regression @ui","chromium","2026-04-10","failed","2026-04-10","Transfer Funds","transfers/transfer-funds.spec.js","",""
"","5","TC-ACCT-UI-004: unauthenticated access to /overview.htm redirects to login @regression @ui","chromium","2026-04-10","skipped","2026-04-10","Accounts Overview","accounts/overview.spec.js","",""
"","5541","TC-BILL-UI-002: missing payee name shows validation error @regression @ui","chromium","2026-04-10","failed","2026-04-10","Bill Pay","bill-pay/bill-pay.spec.js","",""
"","5546","TC-BILL-UI-003: mismatched account number fields show validation error @regression @ui","chromium","2026-04-10","failed","2026-04-10","Bill Pay","bill-pay/bill-pay.spec.js","",""
"","309","TC-ACCT-UI-001: accounts overview heading is visible after login @smoke @ui","chromium","2026-04-10","failed","2026-04-10","Accounts Overview","accounts/overview.spec.js","",""
"","60078","TC-LOAN-UI-002: loan with zero down payment results in denial @regression @ui","chromium","2026-04-10","broken","2026-04-10","Request Loan","loans/request-loan.spec.js","",""
"","60081","TC-LOAN-UI-004: approved loan account appears in accounts overview @regression @ui","chromium","2026-04-10","broken","2026-04-10","Request Loan","loans/request-loan.spec.js","",""
"","30075","TC-FIND-UI-001: search by amount returns matching transactions @smoke @ui","chromium","2026-04-10","broken","2026-04-10","Find Transactions","find-transactions/find-transactions.spec.js","",""
"","643","TC-XFER-UI-005: zero amount is accepted and shows transfer confirmation @regression @ui","chromium","2026-04-10","passed","2026-04-10","Transfer Funds","transfers/transfer-funds.spec.js","",""
"","5595","TC-XFER-UI-002: empty amount field shows validation error @regression @ui","chromium","2026-04-10","failed","2026-04-10","Transfer Funds","transfers/transfer-funds.spec.js","",""
"","333","TC-ACCT-UI-002: account number links navigate to account activity @smoke @ui","chromium","2026-04-10","failed","2026-04-10","Accounts Overview","accounts/overview.spec.js","",""
"","568","TC-XFER-UI-001: successful transfer shows confirmation with amount and account refs @smoke @ui","chromium","2026-04-10","passed","2026-04-10","Transfer Funds","transfers/transfer-funds.spec.js","",""
"","30073","TC-FIND-UI-003: search with no matching results shows empty state @regression @ui","chromium","2026-04-10","broken","2026-04-10","Find Transactions","find-transactions/find-transactions.spec.js","",""
